,읍면동명,관공서수,은행수,종합병원수,일반병원수,약국수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
0,청운효자동,3,1,0,0,0,2,0,0,0,0,0,0,0,0,2
1,사직동,3,3,0,0,3,1,0,0,0,0,0,0,0,2,2
2,삼청동,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
3,부암동,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2
4,평창동,3,1,0,1,0,1,0,0,0,0,0,0,0,0,3
5,무악동,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6,교남동,2,1,1,0,3,1,0,0,0,0,0,0,0,0,1
7,가회동,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1
8,종로1.2.3.4가동,3,3,0,0,3,2,0,1,0,3,0,0,0,3,3
9,종로5.6가동,3,3,0,0,3,1,0,2,0,2,0,0,0,3,1
10,이화동,2,2,1,0,1,2,0,0,0,0,0,0,0,0,2
11,혜화동,3,2,0,0,3,2,0,0,0,0,0,0,0,1,2
12,창신제1동,1,2,0,0,1,0,0,1,0,3,0,0,0,0,0
13,창신제2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,창신제3동,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,숭인제1동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,숭인제2동,2,1,0,1,0,0,0,2,0,2,0,0,0,2,0
17,소공동,3,3,0,0,1,0,1,0,0,2,0,0,0,2,2
18,회현동,3,3,0,0,3,1,0,2,0,2,0,0,0,3,3
19,명동,3,3,0,0,3,2,0,0,0,3,0,0,0,2,2
20,필동,3,3,1,0,1,2,0,0,0,1,0,0,0,2,0
21,장충동,3,1,0,0,0,1,0,0,0,2,0,0,0,1,0
22,광희동,1,3,1,0,2,0,0,1,0,3,0,0,0,3,1
23,을지로동,2,3,0,0,2,0,0,1,0,2,0,0,0,3,1
24,신당동,3,2,0,1,2,0,0,2,0,1,0,0,0,2,0
25,다산동,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0
26,약수동,2,1,0,1,2,0,0,0,0,0,0,0,0,3,0
27,청구동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,신당제5동,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,동화동,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
30,황학동,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0
31,중림동,1,1,0,0,1,1,0,0,0,3,0,0,0,0,0
32,후암동,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1
33,용산2가동,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
34,남영동,3,2,0,0,3,0,0,0,0,3,0,0,0,3,1
35,청파동,3,1,0,1,2,2,0,1,0,1,0,0,0,0,2
36,원효로제1동,3,1,0,0,0,2,0,2,0,0,0,0,0,0,2
37,원효로제2동,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2
38,효창동,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
39,용문동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,한강로동,3,3,0,0,3,0,0,2,0,2,0,0,0,3,3
41,이촌제1동,2,3,0,1,2,0,0,1,0,0,0,0,0,3,1
42,이촌제2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,이태원제1동,3,2,0,0,0,0,0,2,0,0,0,0,0,1,0
44,이태원제2동,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
45,한남동,3,3,1,0,2,0,0,2,0,0,0,0,0,2,3
46,서빙고동,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
47,보광동,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
48,왕십리제2동,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,왕십리도선동,2,2,0,2,3,0,0,0,0,0,0,0,0,0,2
50,마장동,3,2,0,0,1,0,0,0,0,0,0,0,0,1,2
51,사근동,2,2,1,0,1,2,0,1,0,0,0,0,0,1,2
52,행당제1동,3,2,0,2,2,0,0,1,0,0,0,0,0,3,2
53,행당제2동,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
54,응봉동,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55,금호1가동,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
56,금호2.3가동,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3
57,금호4가동,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
58,옥수동,2,1,0,0,1,0,0,0,0,0,0,0,0,3,3
59,성수1가제1동,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2
60,성수1가제2동,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0
61,성수2가제1동,1,1,0,0,2,0,0,2,0,1,0,0,0,0,3
62,성수2가제3동,1,3,0,0,2,0,0,0,0,0,0,0,0,1,1
63,송정동,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
64,용답동,3,1,0,0,1,0,0,1,0,0,0,0,0,3,0
65,화양동,1,2,1,0,3,2,0,0,0,0,0,0,0,2,1
66,군자동,2,2,0,1,2,2,0,0,0,0,0,0,0,1,1
67,중곡제1동,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
68,중곡제2동,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1
69,중곡제3동,1,0,0,1,1,0,0,1,0,0,0,0,0,1,2
70,중곡제4동,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
71,능동,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,광장동,2,3,0,0,1,2,0,0,0,0,0,0,0,1,2
73,자양제1동,1,2,1,0,2,1,0,0,0,0,0,0,0,0,1
74,자양제2동,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
75,자양제3동,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2
76,자양제4동,2,1,0,1,3,0,0,1,0,0,0,0,0,1,0
77,구의제1동,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
78,구의제2동,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
79,구의제3동,2,2,0,0,3,0,0,1,0,0,0,0,1,1,1
80,용신동,3,3,1,2,3,0,0,1,0,3,0,0,0,3,3
81,제기동,2,2,0,1,3,1,0,2,0,3,0,0,0,0,2
82,전농제1동,2,1,0,1,2,0,0,0,0,3,0,0,0,3,2
83,전농제2동,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
84,답십리제1동,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1
85,답십리제2동,1,1,0,2,2,0,0,2,0,0,0,0,0,0,1
86,장안제1동,2,3,0,2,3,0,0,0,0,0,0,0,0,0,3
87,장안제2동,1,1,0,2,3,1,0,0,0,1,0,0,0,0,3
88,청량리동,3,2,1,0,3,1,0,0,0,2,0,0,0,0,2
89,회기동,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0
90,휘경제1동,0,0,0,0,2,0,0,0,0,1,0,0,0,3,1
91,휘경제2동,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1
92,이문제1동,2,1,0,0,2,2,0,0,0,0,0,0,0,1,1
93,이문제2동,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
94,면목제2동,1,0,0,1,2,0,0,2,0,1,0,0,0,0,1
95,면목제4동,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,면목제5동,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
97,면목본동,2,1,0,0,3,0,0,2,0,1,0,0,0,1,2
98,면목제7동,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
99,면목제3.8동,2,0,1,0,3,2,0,0,0,1,0,0,0,1,2
100,상봉제1동,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0
101,상봉제2동,2,1,0,1,1,0,0,0,0,2,0,0,1,0,0
102,중화제1동,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103,중화제2동,0,1,0,0,2,0,0,2,0,0,0,0,0,3,2
104,묵제1동,2,1,0,2,2,0,0,0,0,0,0,0,0,0,2
105,묵제2동,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1
106,망우본동,3,2,1,2,3,0,0,2,0,2,0,0,0,2,3
107,망우제3동,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
108,신내1동,1,1,1,0,2,0,0,0,0,0,0,0,0,1,3
109,신내2동,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1
110,성북동,3,2,0,0,0,2,0,0,0,0,0,0,0,1,3
111,삼선동,3,2,0,0,2,2,0,0,0,0,0,0,0,0,3
112,동선동,0,2,0,1,2,2,0,0,0,0,0,0,0,2,1
113,돈암제1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,돈암제2동,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2
115,안암동,2,2,1,1,1,2,0,0,0,0,0,0,0,2,2
116,보문동,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0
117,정릉제1동,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
118,정릉제2동,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
119,정릉제3동,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
120,정릉제4동,3,1,0,0,2,2,0,0,0,0,0,0,0,1,3
121,길음제1동,1,2,0,0,1,0,0,1,0,0,0,0,0,1,2
122,길음제2동,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1
123,종암동,3,1,0,1,3,0,0,0,0,0,0,0,0,0,3
124,월곡제1동,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
125,월곡제2동,3,2,0,0,2,2,0,0,0,0,0,0,0,2,2
126,장위제1동,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3
127,장위제2동,1,1,0,0,2,0,0,0,0,0,0,0,0,1,2
128,장위제3동,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
129,석관동,3,1,0,0,3,0,0,1,0,2,0,0,0,2,2
130,삼양동,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2
131,미아동,1,1,0,1,2,2,0,0,0,0,0,0,0,1,2
132,송중동,2,0,0,2,3,1,1,0,0,0,0,0,0,0,3
133,송천동,3,2,0,1,3,0,0,2,0,0,0,0,0,2,1
134,삼각산동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
135,번1동,1,1,0,1,2,0,0,0,0,0,0,0,0,1,2
136,번2동,2,0,0,0,1,0,0,0,0,1,0,0,0,0,3
137,번3동,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
138,수유1동,2,1,0,0,2,0,0,1,0,0,0,0,0,1,3
139,수유2동,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
140,수유3동,2,2,0,1,3,0,0,0,0,0,0,0,0,0,2
141,우이동,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3
142,인수동,3,1,1,2,2,2,0,1,0,0,0,0,0,0,3
143,창제1동,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2
144,창제2동,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
145,창제3동,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
146,창제4동,3,2,0,0,1,0,0,0,0,0,0,0,0,2,3
147,창제5동,3,1,0,2,2,0,0,0,0,0,0,0,0,0,1
148,도봉제1동,2,0,0,0,1,1,0,1,0,0,0,0,0,0,3
149,도봉제2동,3,1,0,0,1,1,0,0,0,1,0,0,0,3,3
150,쌍문제1동,3,0,0,1,0,2,0,0,0,0,0,0,0,0,3
151,쌍문제2동,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1
152,쌍문제3동,1,1,1,0,2,0,0,0,0,1,0,0,0,1,1
153,쌍문제4동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,방학제1동,3,2,0,2,3,0,0,0,0,0,0,0,0,1,3
155,방학제2동,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
156,방학제3동,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
157,월계1동,2,1,0,0,1,2,0,0,0,0,0,0,0,0,3
158,월계2동,2,0,0,0,0,2,0,0,0,0,0,0,0,2,3
159,월계3동,2,1,0,0,1,0,0,0,0,0,0,0,0,2,3
160,공릉1동,2,2,0,2,3,1,0,1,0,0,0,0,0,3,3
161,공릉2동,3,2,1,0,2,2,0,1,0,0,0,0,0,1,3
162,하계1동,2,1,1,0,1,2,0,0,0,0,0,0,0,0,3
163,하계2동,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
164,중계본동,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
165,중계1동,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
166,중계4동,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
167,중계2.3동,3,1,0,0,1,0,0,0,0,0,0,0,0,1,3
168,상계1동,2,1,0,0,2,0,0,0,0,0,0,0,0,1,3
169,상계2동,0,0,0,2,3,0,0,0,0,0,0,0,0,2,2
170,상계3.4동,2,0,0,0,1,1,0,0,0,2,0,0,0,1,0
171,상계5동,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2
172,상계6.7동,3,3,1,1,3,2,0,0,0,0,0,0,0,0,3
173,상계8동,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
174,상계9동,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
175,상계10동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
176,녹번동,3,1,0,2,2,0,0,1,0,0,0,0,0,2,2
177,불광제1동,3,2,0,1,3,0,0,0,0,0,0,0,0,3,3
178,불광제2동,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2
179,갈현제1동,0,1,1,0,2,0,0,0,0,0,0,0,0,2,3
180,갈현제2동,1,0,0,1,3,0,0,0,0,0,0,0,0,1,2
181,구산동,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
182,대조동,1,2,0,1,3,0,0,0,0,0,0,0,0,0,3
183,응암제1동,2,2,0,1,3,0,0,0,0,0,0,0,0,0,1
184,응암제2동,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
185,응암제3동,1,1,0,1,3,0,0,2,0,0,0,0,0,0,2
186,역촌동,2,2,0,2,3,0,0,0,0,0,0,0,0,0,3
187,신사제1동,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1
188,신사제2동,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
189,증산동,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
190,수색동,2,1,0,0,1,0,0,2,0,0,0,0,0,3,1
191,진관동,3,2,0,0,3,0,0,0,0,0,0,0,0,1,3
192,천연동,2,0,0,0,0,2,0,0,0,1,0,0,0,0,3
193,북아현동,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
194,충현동,3,3,0,0,1,2,0,0,0,0,0,0,0,3,3
195,신촌동,3,3,1,0,3,2,1,0,0,2,0,0,0,2,3
196,연희동,3,3,0,1,3,2,0,0,0,1,0,0,0,0,3
197,홍제제1동,1,1,0,0,1,1,0,0,0,1,0,0,0,1,3
198,홍제제3동,1,1,0,2,2,2,0,2,0,3,0,0,0,1,3
199,홍제제2동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,홍은제1동,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
201,홍은제2동,2,1,1,0,1,2,0,0,0,0,0,0,0,0,3
202,남가좌제1동,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
203,남가좌제2동,2,2,0,0,2,2,0,0,0,0,0,0,0,0,1
204,북가좌제1동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,북가좌제2동,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3
206,아현동,2,3,0,0,3,0,0,0,0,1,0,0,0,2,1
207,공덕동,3,3,0,0,3,0,0,2,0,0,0,0,0,3,3
208,도화동,2,3,0,0,3,0,0,0,1,1,0,0,0,1,2
209,용강동,3,2,0,1,1,0,0,0,0,0,0,0,0,1,1
210,대흥동,2,2,0,0,3,2,0,0,0,2,0,0,0,3,3
