,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드
0,청운동,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,16.0,8.0,0.0
1,신교동,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,10.0,1.0,0.0
2,궁정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.0,1.0,0.0
3,효자동,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,16.0,5.0,0.0
4,창성동,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0.0,0.0,0.0,23.0,3.0,0.0
5,통의동,0,4,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0.0,1.0,1.0,75.0,8.0,0.0
6,적선동,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,1,0,0.0,0.0,0.0,81.0,14.0,2.0
7,통인동,0,3,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,86.0,3.0,1.0
8,누상동,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,19.0,1.0,0.0
9,누하동,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,55.0,8.0,0.0
10,옥인동,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0.0,1.0,1.0,30.0,6.0,0.0
11,체부동,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0.0,0.0,0.0,92.0,10.0,0.0
12,필운동,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,77.0,3.0,3.0
13,내자동,0,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,4,6,0,0,0,0,2,0,0.0,0.0,0.0,95.0,3.0,1.0
14,사직동,0,10,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2.0,0.0,0.0,44.0,10.0,0.0
15,도렴동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,61.0,6.0,1.0
16,당주동,0,0,2,0,0,2,0,3,1,0,0,0,0,0,0,0,0,2,11,0,0,0,0,1,2,0.0,0.0,0.0,159.0,14.0,0.0
17,내수동,0,0,0,1,1,4,0,4,7,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0.0,0.0,0.0,142.0,8.0,0.0
18,세종로,1,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0.0,3.0,3.0,26.0,12.0,1.0
19,신문로1가,0,5,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,3,18,0,1,0,2,0,0,0.0,1.0,1.0,102.0,12.0,1.0
20,신문로2가,0,3,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,2.0,2.0,102.0,8.0,0.0
21,청진동,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,13,0,0,0,1,0,2,0.0,0.0,0.0,196.0,25.0,2.0
22,서린동,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0.0,1.0,1.0,43.0,13.0,1.0
23,수송동,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,0,2,0.0,2.0,2.0,121.0,12.0,0.0
24,중학동,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,30.0,4.0,0.0
25,종로1가,1,4,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,5,14,0,0,0,0,0,0,0.0,0.0,0.0,98.0,16.0,1.0
26,공평동,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,53.0,12.0,0.0
27,관훈동,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,2.0,2.0,199.0,31.0,0.0
28,견지동,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0.0,1.0,1.0,34.0,9.0,1.0
29,와룡동,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0.0,2.0,2.0,21.0,10.0,1.0
30,권농동,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,30.0,0.0,0.0
31,운니동,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,34.0,4.0,0.0
32,익선동,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,151.0,7.0,2.0
33,경운동,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0.0,0.0,0.0,22.0,4.0,0.0
34,관철동,0,5,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,9,0,1,0,0,18,7,0.0,0.0,0.0,368.0,18.0,1.0
35,인사동,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0.0,0.0,0.0,161.0,7.0,0.0
36,낙원동,0,1,0,0,3,2,2,4,1,0,2,0,0,0,0,0,0,2,4,0,0,0,0,2,7,0.0,1.0,1.0,229.0,6.0,0.0
37,종로2가,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,13,0,1,0,1,1,1,0.0,0.0,0.0,59.0,23.0,4.0
38,팔판동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,34.0,5.0,1.0
39,삼청동,0,7,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2.0,2.0,100.0,23.0,0.0
40,안국동,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0.0,1.0,1.0,37.0,13.0,0.0
41,소격동,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0.0,1.0,1.0,44.0,8.0,0.0
42,화동,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,31.0,6.0,0.0
43,사간동,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,21.0,4.0,0.0
44,송현동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
45,가회동,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,4.0,4.0,24.0,13.0,0.0
46,재동,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0.0,0.0,0.0,74.0,11.0,0.0
47,계동,0,6,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0.0,0.0,0.0,73.0,32.0,0.0
48,원서동,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,2.0,2.0,29.0,6.0,0.0
49,훈정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,묘동,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,2,1,0.0,0.0,0.0,72.0,8.0,3.0
51,봉익동,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,43.0,4.0,0.0
52,돈의동,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,126.0,5.0,0.0
53,장사동,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,25.0,1.0,0.0
54,관수동,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0.0,0.0,0.0,106.0,9.0,1.0
55,종로3가,1,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,6,15,0,0,0,0,1,2,0.0,0.0,0.0,68.0,7.0,4.0
56,인의동,0,2,0,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0.0,0.0,0.0,71.0,9.0,1.0
57,예지동,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0,2.0,0.0
58,원남동,0,4,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,39.0,8.0,1.0
59,연지동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0.0,0.0,0.0,59.0,13.0,0.0
60,종로4가,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,1,0.0,0.0,0.0,41.0,6.0,0.0
61,효제동,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0.0,0.0,0.0,102.0,6.0,0.0
62,종로5가,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,31,0,1,0,0,2,8,0.0,0.0,0.0,225.0,13.0,0.0
63,종로6가,1,4,9,0,0,1,0,2,0,0,3,0,0,0,0,0,0,5,20,0,1,0,1,1,2,0.0,0.0,0.0,93.0,13.0,1.0
64,이화동,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,55.0,6.0,1.0
65,연건동,0,15,0,1,0,2,0,6,2,0,0,0,0,0,0,0,2,9,1,0,0,1,0,0,1,0.0,2.0,2.0,70.0,21.0,3.0
66,충신동,0,3,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,1.0,1.0,30.0,1.0,0.0
67,동숭동,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,4,1,0.0,3.0,3.0,254.0,32.0,3.0
68,혜화동,0,11,5,0,0,3,0,1,2,0,0,0,0,0,0,0,0,4,11,0,2,0,0,0,0,0.0,1.0,1.0,100.0,17.0,3.0
69,명륜1가,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,2,0.0,1.0,1.0,49.0,4.0,0.0
70,명륜2가,0,5,2,0,1,2,8,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7,4,0.0,1.0,1.0,184.0,18.0,4.0
71,명륜4가,1,2,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,6,1,0.0,0.0,0.0,226.0,13.0,3.0
72,명륜3가,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1.0,1.0,1.0,112.0,12.0,1.0
73,창신동,2,15,1,1,3,7,0,7,3,0,2,0,0,0,0,1,0,11,36,0,2,0,0,7,11,0.0,0.0,0.0,441.0,29.0,5.0
74,숭인동,2,18,4,2,3,8,0,5,5,1,1,0,0,0,0,1,1,7,14,0,1,1,2,11,6,1.0,0.0,0.0,316.0,18.0,5.0
75,교남동,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0.0,0.0,0.0,39.0,3.0,1.0
76,평동,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,5,0,0,0,0,0,1,1.0,0.0,0.0,35.0,14.0,0.0
77,송월동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,5.0,0.0,0.0
78,홍파동,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,17.0,1.0,0.0
79,교북동,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0.0,0.0,0.0,29.0,3.0,0.0
80,행촌동,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,22.0,0.0,0.0
81,구기동,0,18,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,2,0.0,1.0,1.0,50.0,6.0,1.0
82,평창동,0,36,1,4,0,5,0,3,4,0,0,0,0,0,0,0,1,3,5,0,0,0,3,0,1,0.0,5.0,5.0,77.0,28.0,1.0
83,부암동,0,9,1,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,3.0,3.0,65.0,13.0,2.0
84,홍지동,0,19,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,2.0,2.0,42.0,9.0,1.0
85,신영동,0,6,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.0,0.0,0.0,28.0,7.0,0.0
86,무악동,0,5,0,1,0,3,0,3,0,0,0,1,0,0,0,0,1,5,3,0,0,0,1,1,0,0.0,0.0,0.0,49.0,10.0,3.0
87,무교동,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,4,14,0,0,0,1,0,2,0.0,0.0,0.0,65.0,7.0,1.0
88,다동,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,2,5,0,1,0,1,0,4,0.0,0.0,0.0,163.0,23.0,3.0
89,태평로1가,0,5,1,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,3,0.0,1.0,1.0,68.0,18.0,0.0
90,을지로1가,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0.0,1.0,1.0,45.0,19.0,1.0
91,을지로2가,0,3,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,5,18,0,0,0,2,0,7,0.0,0.0,0.0,159.0,33.0,1.0
92,남대문로1가,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.0,2.0,0.0
93,삼각동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0.0,0.0,0.0,7.0,3.0,0.0
94,수하동,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.0,0.0,0.0,41.0,6.0,0.0
95,장교동,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0.0,0.0,0.0,23.0,2.0,0.0
96,수표동,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0.0,0.0,0.0,48.0,9.0,0.0
97,소공동,0,2,0,2,1,4,0,14,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0.0,0.0,0.0,87.0,29.0,3.0
98,남창동,1,5,0,3,0,1,0,3,2,0,5,0,0,0,0,0,0,6,13,0,1,0,0,1,4,0.0,0.0,0.0,159.0,22.0,0.0
99,북창동,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0.0,0.0,0.0,139.0,6.0,0.0
100,태평로2가,0,7,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0.0,0.0,0.0,106.0,16.0,3.0
101,남대문로2가,0,6,1,0,0,0,5,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,23.0,9.0,1.0
102,남대문로3가,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0.0,1.0,1.0,36.0,2.0,1.0
103,남대문로4가,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0.0,0.0,0.0,56.0,6.0,0.0
104,남대문로5가,1,8,0,1,3,1,0,9,4,0,0,0,0,0,0,0,0,6,18,0,0,0,1,1,8,0.0,1.0,1.0,203.0,30.0,4.0
105,봉래동1가,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0.0,0.0,0.0,28.0,5.0,0.0
106,봉래동2가,0,8,0,0,0,0,1,3,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,11.0,5.0,1.0
107,회현동1가,0,3,0,1,0,5,0,2,7,0,0,0,0,0,1,0,0,2,12,0,1,0,0,1,1,0.0,0.0,0.0,143.0,22.0,2.0
108,회현동2가,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,1.0,1.0,35.0,8.0,0.0
109,회현동3가,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,14.0,2.0,1.0
110,충무로1가,0,2,0,0,1,1,6,11,1,0,1,0,1,0,0,0,1,3,12,0,0,0,0,0,2,0.0,0.0,0.0,77.0,19.0,6.0
111,충무로2가,1,2,0,1,2,1,8,2,2,0,2,0,0,0,0,0,0,4,12,0,0,0,0,1,4,0.0,0.0,0.0,100.0,23.0,3.0
112,명동1가,0,0,0,2,1,1,0,2,2,0,0,0,0,0,0,0,1,4,10,0,0,0,0,0,3,0.0,0.0,0.0,64.0,15.0,2.0
113,명동2가,0,0,2,4,2,0,4,3,4,0,1,0,0,0,1,0,0,3,15,0,1,0,0,2,0,0.0,1.0,1.0,168.0,34.0,5.0
114,남산동1가,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0.0,1.0,1.0,25.0,2.0,0.0
115,남산동2가,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,61.0,13.0,1.0
116,남산동3가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,12.0,2.0,0.0
117,저동1가,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,38.0,5.0,0.0
118,충무로4가,0,2,0,3,0,0,9,1,1,0,1,0,0,0,0,0,0,2,6,1,0,0,0,0,4,0.0,0.0,0.0,111.0,12.0,0.0
119,충무로5가,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0.0,0.0,0.0,55.0,5.0,1.0
120,인현동2가,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0.0,0.0,0.0,63.0,2.0,0.0
121,예관동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,15.0,1.0,0.0
122,묵정동,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1.0,0.0,0.0,19.0,8.0,0.0
123,필동1가,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0.0,0.0,0.0,59.0,8.0,0.0
124,필동2가,2,1,1,2,0,2,3,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,2,0.0,0.0,0.0,137.0,23.0,1.0
125,필동3가,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0.0,1.0,1.0,64.0,16.0,1.0
126,남학동,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,17.0,1.0,0.0
127,주자동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,2.0,0.0
128,예장동,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,22.0,3.0,0.0
129,장충동1가,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,1.0,1.0,29.0,8.0,0.0
130,장충동2가,1,10,0,2,4,2,1,9,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,0.0,1.0,1.0,121.0,18.0,0.0
131,광희동1가,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,90.0,7.0,1.0
132,광희동2가,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0.0,0.0,0.0,19.0,5.0,0.0
133,쌍림동,0,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,1,0.0,0.0,0.0,46.0,12.0,0.0
134,을지로6가,0,8,16,4,1,0,14,6,1,0,7,0,0,0,2,0,0,7,12,0,0,0,0,2,9,0.0,0.0,0.0,269.0,57.0,11.0
135,을지로7가,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,26.0,9.0,1.0
136,을지로4가,1,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,14,0,0,0,0,0,3,0.0,0.0,0.0,58.0,12.0,1.0
137,을지로5가,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,3,0.0,0.0,0.0,41.0,7.0,0.0
138,주교동,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0.0,0.0,0.0,75.0,9.0,0.0
139,방산동,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,9.0,3.0,1.0
140,오장동,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0.0,0.0,0.0,55.0,11.0,0.0
141,을지로3가,2,3,1,3,2,0,0,2,3,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,5,0.0,0.0,0.0,160.0,13.0,0.0
142,입정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,24.0,0.0,0.0
143,산림동,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,43.0,3.0,0.0
144,충무로3가,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0.0,0.0,0.0,118.0,9.0,0.0
145,초동,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,6,0.0,0.0,0.0,108.0,6.0,1.0
146,인현동1가,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,47.0,6.0,0.0
147,저동2가,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,0,3,0.0,0.0,0.0,101.0,17.0,0.0
148,신당동,6,43,1,15,6,41,0,23,24,1,15,0,0,0,0,0,2,37,108,2,3,2,3,33,39,5.0,0.0,0.0,1015.0,134.0,15.0
149,흥인동,1,2,0,2,0,0,0,2,4,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,3,0.0,0.0,0.0,85.0,12.0,1.0
150,무학동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,9,3,0.0,0.0,0.0,48.0,2.0,0.0
151,황학동,0,6,0,4,2,6,0,6,8,0,2,1,0,0,0,0,0,10,17,0,0,0,0,2,10,0.0,0.0,0.0,317.0,17.0,7.0
152,서소문동,1,4,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,4,18,0,1,0,1,0,3,0.0,1.0,1.0,143.0,22.0,1.0
153,정동,1,3,0,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,2.0,2.0,89.0,12.0,0.0
154,순화동,0,2,1,3,1,1,0,1,3,0,0,0,0,0,0,0,1,1,7,0,0,0,1,0,1,0.0,0.0,0.0,107.0,15.0,2.0
155,의주로1가,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,4.0,1.0,0.0
156,충정로1가,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,1.0,11.0,5.0,0.0
157,중림동,0,8,1,1,0,4,0,4,2,0,0,0,0,0,0,0,0,6,13,0,1,0,0,3,3,0.0,0.0,0.0,164.0,13.0,0.0
158,의주로2가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,2.0,0.0,0.0
159,만리동1가,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,32.0,5.0,0.0
