,법정동명,석유판매업,공원수,음식점수,장보기시설,쇼핑시설,의료,치안,생횔편의시설,여가,교통
240,동소문동1가,0,0,26,0.0,0.0,11,0,2,3,2
241,동소문동2가,0,0,73,0.0,0.0,15,0,2,6,3
242,동소문동3가,0,0,13,0.0,0.0,11,0,1,6,2
243,동소문동4가,0,0,18,0.0,0.0,5,0,4,1,2
244,동소문동5가,0,0,88,1.0,0.0,8,0,4,7,2
245,동소문동6가,0,0,26,0.0,0.0,28,0,2,3,2
246,동소문동7가,0,0,14,0.0,0.0,2,0,4,0,3
247,삼선동1가,1,0,31,1.0,0.0,5,0,3,2,6
248,삼선동2가,0,0,72,0.0,0.0,1,0,4,9,13
249,삼선동3가,0,1,12,0.0,0.0,0,1,2,0,7
250,삼선동4가,0,0,57,0.0,0.0,6,1,1,4,3
251,삼선동5가,0,0,71,0.0,0.0,7,0,2,4,5
252,동선동1가,0,0,278,0.0,1.0,20,0,3,37,2
253,동선동2가,0,0,118,0.0,0.0,0,0,4,5,6
254,동선동3가,0,0,39,0.0,0.0,0,0,4,0,0
255,동선동4가,0,0,47,0.0,0.0,18,0,2,3,3
256,동선동5가,1,0,31,0.0,0.0,2,0,2,3,1
257,안암동1가,1,0,29,0.0,0.0,0,0,2,1,4
258,안암동2가,0,0,19,0.0,0.0,3,0,3,0,6
259,안암동3가,0,0,12,0.0,0.0,0,0,3,1,0
260,안암동4가,0,0,6,0.0,0.0,1,0,0,1,1
261,안암동5가,1,0,334,0.0,0.0,20,0,8,30,21
262,보문동4가,0,0,25,1.0,1.0,4,0,0,2,1
263,보문동5가,1,0,22,0.0,0.0,8,0,2,0,1
264,보문동6가,0,0,8,1.0,0.0,0,1,2,0,0
265,보문동7가,1,0,48,1.0,0.0,2,0,3,3,2
266,보문동1가,1,0,19,0.0,0.0,3,0,2,3,5
267,보문동2가,0,0,18,0.0,0.0,5,0,5,1,1
268,보문동3가,0,0,0,0.0,0.0,0,1,0,0,1
269,정릉동,6,3,522,2.0,0.0,67,5,51,61,133
270,길음동,2,2,241,9.0,6.0,56,4,38,22,40
271,종암동,4,0,285,0.0,1.0,56,3,28,35,58
272,하월곡동,3,4,418,2.0,1.0,62,1,38,52,55
273,상월곡동,2,0,70,0.0,0.0,6,1,5,6,12
274,장위동,6,1,341,3.0,2.0,47,3,36,31,99
275,석관동,4,3,352,2.0,2.0,51,2,23,37,31
276,미아동,5,4,1456,4.0,6.0,268,8,121,158,152
277,번동,4,2,435,2.0,0.0,88,3,40,70,98
278,수유동,6,0,1467,2.0,6.0,163,6,92,230,145
279,우이동,0,2,175,0.0,0.0,15,1,10,13,16
280,쌍문동,3,6,473,1.0,1.0,68,3,49,77,94
281,방학동,6,4,634,3.0,1.0,66,5,59,154,78
282,창동,5,5,784,5.0,2.0,111,3,72,176,116
283,도봉동,5,7,452,0.0,2.0,35,2,36,75,83
284,월계동,4,0,449,1.0,1.0,91,5,43,69,107
285,공릉동,7,0,775,3.0,1.0,139,3,61,102,111
286,하계동,5,0,181,0.0,1.0,38,2,20,13,56
287,상계동,7,0,1695,1.0,5.0,470,8,138,282,197
288,중계동,1,0,561,3.0,4.0,171,3,65,94,76
289,수색동,2,0,89,1.0,1.0,14,2,7,6,18
290,녹번동,3,6,266,0.0,0.0,33,1,27,32,25
291,불광동,3,5,449,0.0,7.0,95,3,46,46,64
292,갈현동,1,1,695,0.0,1.0,61,2,39,110,74
293,구산동,0,7,117,1.0,1.0,31,1,26,8,35
294,대조동,0,1,416,0.0,4.0,111,1,29,52,28
295,응암동,4,3,720,3.0,3.0,125,3,64,112,82
296,역촌동,1,0,401,1.0,2.0,54,3,37,63,51
297,신사동,7,2,2269,4.0,2.0,805,3,138,166,78
298,증산동,1,0,143,0.0,0.0,28,1,16,27,14
299,진관동,2,9,311,0.0,1.0,76,4,47,25,62
300,충정로2가,0,0,103,0.0,0.0,11,0,2,7,11
301,충정로3가,1,0,145,0.0,0.0,6,0,4,5,20
302,합동,0,1,22,0.0,0.0,0,0,3,1,0
303,미근동,0,0,73,0.0,0.0,6,0,1,7,3
304,냉천동,0,0,85,0.0,0.0,7,0,1,2,6
305,천연동,0,0,25,0.0,0.0,1,0,2,0,8
306,옥천동,0,0,19,0.0,0.0,6,1,1,0,0
307,영천동,0,0,27,0.0,0.0,14,0,4,8,8
308,현저동,0,1,5,0.0,0.0,1,0,2,2,16
309,북아현동,0,0,151,0.0,0.0,26,2,20,8,26
310,홍제동,4,4,481,5.0,0.0,84,1,41,46,77
311,대현동,0,1,268,0.0,1.0,16,1,10,9,12
312,대신동,1,0,45,0.0,0.0,6,0,4,3,11
313,신촌동,0,0,20,0.0,1.0,3,1,7,8,4
314,봉원동,0,0,1,0.0,0.0,0,0,1,0,2
315,창천동,1,2,822,1.0,1.0,55,1,21,49,21
316,연희동,7,1,380,1.0,0.0,44,2,37,22,56
317,홍은동,2,3,366,2.0,0.0,38,3,33,29,97
318,북가좌동,2,1,295,2.0,0.0,49,2,31,29,44
319,남가좌동,2,2,426,6.0,0.0,68,1,28,35,42
320,아현동,0,3,163,0.0,0.0,60,1,14,13,24
321,공덕동,2,2,397,4.0,0.0,59,2,19,26,23
322,신공덕동,0,1,65,1.0,0.0,18,0,11,7,9
323,도화동,1,0,490,0.0,1.0,88,1,24,46,39
324,용강동,1,2,172,1.0,0.0,7,1,8,27,8
325,토정동,0,0,3,0.0,0.0,1,0,1,0,2
326,마포동,0,0,45,0.0,0.0,2,0,6,3,2
327,대흥동,1,3,200,1.0,0.0,41,1,17,14,25
328,염리동,2,0,150,1.0,0.0,16,1,15,13,13
329,노고산동,0,2,173,0.0,1.0,59,1,7,17,15
330,신수동,0,1,172,2.0,0.0,13,1,14,11,25
331,현석동,0,1,9,0.0,0.0,0,0,2,0,0
332,구수동,0,0,32,0.0,1.0,6,0,3,4,5
333,창전동,1,1,149,0.0,1.0,15,1,10,10,35
334,상수동,0,2,337,0.0,0.0,9,0,13,7,19
335,하중동,0,0,3,0.0,0.0,1,0,0,0,4
336,신정동,11,2,1069,5.0,2.0,241,7,123,182,168
337,당인동,0,1,10,0.0,0.0,0,0,0,1,1
338,서교동,0,1,1882,3.0,0.0,73,3,46,89,59
339,동교동,0,0,581,0.0,2.0,81,1,18,57,19
340,합정동,2,1,542,1.0,0.0,29,0,26,27,30
341,망원동,2,0,693,1.0,1.0,45,2,47,53,54
342,연남동,0,0,778,1.0,1.0,12,1,64,13,22
343,성산동,5,0,414,2.0,0.0,27,2,44,51,63
344,중동,0,0,43,0.0,0.0,14,0,7,3,8
345,상암동,0,8,670,0.0,0.0,72,2,27,34,89
346,목동,6,0,1185,7.0,7.0,263,7,126,198,90
347,신월동,11,0,950,5.0,0.0,118,6,80,144,80
348,염창동,4,1,240,0.0,2.0,60,1,30,40,37
349,등촌동,6,4,684,1.0,1.0,115,3,56,118,75
350,화곡동,12,4,2236,0.0,7.0,287,6,150,290,192
351,가양동,7,4,211,3.0,0.0,49,0,29,41,44
352,마곡동,4,1,1411,3.0,0.0,188,1,54,104,73
353,내발산동,2,2,314,0.0,2.0,76,2,35,38,47
354,외발산동,2,0,33,0.0,0.0,1,0,3,0,20
355,공항동,8,1,313,0.0,0.0,27,0,16,33,41
356,방화동,8,4,714,1.0,4.0,86,3,76,100,79
357,개화동,1,1,3,0.0,0.0,0,2,0,0,10
358,과해동,0,0,1,0.0,0.0,2,0,0,0,3
359,오곡동,4,0,3,0.0,0.0,0,0,0,0,2
360,오쇠동,0,0,1,0.0,0.0,0,0,0,0,2
361,신도림동,2,1,258,1.0,1.0,75,3,30,35,43
362,구로동,22,3,2197,4.0,14.0,297,7,108,261,157
363,가리봉동,3,0,213,0.0,0.0,16,1,5,43,9
364,고척동,3,5,473,1.0,10.0,78,4,44,80,69
365,개봉동,6,4,502,2.0,3.0,124,4,60,70,87
366,오류동,4,2,314,1.0,2.0,79,1,28,32,45
367,궁동,2,0,55,0.0,0.0,10,2,8,7,31
368,온수동,1,2,56,0.0,0.0,9,1,8,6,16
369,천왕동,0,6,28,0.0,0.0,12,0,4,2,30
370,항동,1,1,48,0.0,0.0,10,0,4,5,30
371,가산동,2,0,1053,1.0,5.0,81,1,38,116,106
372,독산동,7,5,1159,4.0,6.0,144,6,89,178,110
373,시흥동,5,4,865,1.0,6.0,169,7,84,139,139
374,영등포동,1,1,166,0.0,1.0,20,1,15,25,14
375,영등포동1가,0,0,30,0.0,0.0,0,0,1,1,2
376,영등포동2가,0,1,55,0.0,0.0,4,1,3,5,5
377,영등포동3가,0,0,263,0.0,0.0,37,1,4,18,6
378,영등포동4가,0,0,165,0.0,2.0,35,1,21,23,8
379,영등포동5가,0,0,107,0.0,6.0,18,0,5,11,3
380,영등포동6가,1,0,71,0.0,0.0,19,0,1,10,3
381,영등포동7가,1,1,148,0.0,0.0,7,0,8,7,9
382,영등포동8가,0,0,70,1.0,0.0,14,0,4,7,7
383,여의도동,3,1,1701,2.0,3.0,196,2,81,75,60
384,당산동1가,2,0,140,0.0,1.0,10,0,4,6,5
385,당산동2가,0,0,87,0.0,1.0,8,0,2,4,6
386,당산동3가,1,1,305,0.0,1.0,21,0,10,37,7
387,당산동4가,1,3,108,0.0,0.0,21,0,7,9,6
388,당산동5가,0,3,87,0.0,1.0,33,1,12,15,19
389,당산동6가,0,0,135,0.0,0.0,37,1,4,19,5
390,당산동,1,0,37,0.0,0.0,0,0,6,5,18
391,도림동,2,1,155,1.0,1.0,19,1,23,21,24
392,문래동1가,2,0,30,0.0,0.0,1,0,0,0,3
393,문래동2가,1,0,114,0.0,0.0,5,0,2,3,3
394,문래동3가,1,1,319,1.0,1.0,44,1,11,31,21
395,문래동4가,0,2,65,0.0,0.0,3,0,1,3,2
396,문래동5가,0,1,23,0.0,0.0,0,0,2,4,6
397,문래동6가,0,1,60,0.0,0.0,16,0,4,5,8
398,양평동1가,0,0,127,0.0,2.0,4,1,5,3,10
399,양평동2가,0,0,105,0.0,0.0,10,0,6,9,7
400,양평동3가,1,0,82,2.0,1.0,6,0,12,7,13
401,양평동4가,2,0,239,0.0,0.0,17,1,9,19,8
402,양평동5가,2,0,74,0.0,0.0,12,0,6,5,6
403,양평동6가,0,0,17,0.0,0.0,0,0,1,0,4
404,양화동,0,0,5,0.0,0.0,0,0,0,0,6
405,신길동,12,10,874,4.0,2.0,171,6,77,123,143
406,대림동,4,0,912,1.0,4.0,120,2,45,153,67
407,양평동,0,1,0,0.0,0.0,0,0,0,0,0
408,노량진동,2,2,495,0.0,1.0,55,1,27,47,38
409,상도동,6,7,664,4.0,2.0,182,7,71,92,133
410,상도1동,0,0,115,0.0,0.0,31,0,11,10,17
411,본동,0,2,24,0.0,0.0,9,1,7,3,26
412,흑석동,1,4,345,0.0,1.0,64,2,23,28,50
413,동작동,0,1,5,0.0,0.0,0,1,4,1,17
414,사당동,2,4,973,0.0,3.0,198,4,82,109,87
415,대방동,1,0,219,1.0,2.0,76,3,25,33,52
416,신대방동,2,1,345,0.0,1.0,74,2,39,56,42
417,봉천동,6,5,2183,4.0,7.0,370,10,167,236,212
418,신림동,8,5,2419,3.0,2.0,368,11,206,299,274
419,남현동,1,1,197,1.0,0.0,37,1,14,20,6
420,방배동,7,0,1160,1.0,2.0,244,7,100,187,162
421,양재동,8,0,980,2.0,1.0,97,2,62,162,70
422,우면동,2,0,85,0.0,0.0,31,2,14,14,38
423,원지동,1,0,29,0.0,0.0,1,0,0,0,7
424,잠원동,1,0,490,1.0,3.0,181,1,39,81,40
425,반포동,7,0,801,0.0,7.0,187,6,83,107,83
426,서초동,10,0,2169,1.0,6.0,638,5,147,359,187
427,내곡동,1,0,29,0.0,0.0,10,1,3,0,26
428,염곡동,0,0,4,0.0,0.0,1,1,3,0,13
429,신원동,0,0,51,0.0,0.0,7,0,4,1,24
430,역삼동,7,11,3089,3.0,4.0,621,3,164,287,73
431,개포동,2,9,402,0.0,2.0,120,2,51,58,76
432,청담동,2,2,982,0.0,3.0,279,2,50,100,26
433,삼성동,4,6,1229,3.0,6.0,213,4,102,135,62
434,대치동,4,8,1376,0.0,6.0,295,3,88,158,68
435,논현동,3,2,2054,4.0,5.0,506,3,118,205,47
436,압구정동,0,2,98,0.0,5.0,20,2,53,5,17
437,세곡동,2,6,76,0.0,0.0,25,1,5,7,34
438,자곡동,1,6,79,0.0,0.0,15,0,8,3,17
439,율현동,1,0,29,0.0,0.0,6,1,2,2,12
440,일원동,2,4,222,0.0,1.0,76,1,28,45,43
441,수서동,2,4,194,0.0,0.0,56,3,17,20,28
442,도곡동,6,7,493,2.0,1.0,161,1,45,77,44
443,잠실동,5,8,1021,4.0,5.0,233,6,88,135,46
444,신천동,0,5,420,3.0,3.0,126,2,44,44,25
445,풍납동,1,3,218,2.0,0.0,67,2,34,31,32
446,송파동,3,4,583,2.0,1.0,90,1,46,76,19
447,석촌동,6,1,589,1.0,1.0,100,1,41,74,19
448,삼전동,1,1,318,1.0,0.0,62,1,31,62,13
449,가락동,5,5,951,5.0,1.0,180,3,63,173,66
450,문정동,1,11,1217,2.0,2.0,137,2,57,114,49
451,장지동,5,6,166,0.0,0.0,39,2,21,8,50
452,방이동,3,4,929,2.0,1.0,126,2,47,143,50
453,오금동,3,6,281,1.0,1.0,46,1,34,49,34
454,거여동,2,6,237,1.0,0.0,74,0,30,51,42
455,마천동,3,12,326,0.0,2.0,66,4,24,39,29
456,명일동,3,0,384,4.0,1.0,149,3,38,70,42
457,고덕동,1,1,209,1.0,0.0,46,2,24,19,41
458,상일동,1,2,188,0.0,0.0,18,2,23,21,61
459,길동,0,0,597,2.0,2.0,119,2,37,86,37
460,둔촌동,2,1,190,0.0,0.0,34,2,19,34,40
461,암사동,2,1,422,4.0,0.0,92,3,48,65,30
462,성내동,4,0,994,3.0,2.0,170,3,73,148,55
463,천호동,5,0,1024,3.0,3.0,205,4,87,93,54
464,강일동,1,4,59,0.0,0.0,41,1,17,6,49
