,jachigu,bubjung
0,종로구,청운동
1,종로구,신교동
2,종로구,궁정동
3,종로구,효자동
4,종로구,창성동
5,종로구,통의동
6,종로구,적선동
7,종로구,통인동
8,종로구,누상동
9,종로구,누하동
10,종로구,옥인동
11,종로구,체부동
12,종로구,필운동
13,종로구,내자동
14,종로구,사직동
15,종로구,도렴동
16,종로구,당주동
17,종로구,내수동
18,종로구,세종로
19,종로구,신문로1가
20,종로구,신문로2가
21,종로구,청진동
22,종로구,서린동
23,종로구,수송동
24,종로구,중학동
25,종로구,종로1가
26,종로구,공평동
27,종로구,관훈동
28,종로구,견지동
29,종로구,와룡동
30,종로구,권농동
31,종로구,운니동
32,종로구,익선동
33,종로구,경운동
34,종로구,관철동
35,종로구,인사동
36,종로구,낙원동
37,종로구,종로2가
38,종로구,팔판동
39,종로구,삼청동
40,종로구,안국동
41,종로구,소격동
42,종로구,화동
43,종로구,사간동
44,종로구,송현동
45,종로구,가회동
46,종로구,재동
47,종로구,계동
48,종로구,원서동
49,종로구,훈정동
50,종로구,묘동
51,종로구,봉익동
52,종로구,돈의동
53,종로구,장사동
54,종로구,관수동
55,종로구,종로3가
56,종로구,인의동
57,종로구,예지동
58,종로구,원남동
59,종로구,연지동
60,종로구,종로4가
61,종로구,효제동
62,종로구,종로5가
63,종로구,종로6가
64,종로구,이화동
65,종로구,연건동
66,종로구,충신동
67,종로구,동숭동
68,종로구,혜화동
69,종로구,명륜1가
70,종로구,명륜2가
71,종로구,명륜4가
72,종로구,명륜3가
73,종로구,창신동
74,종로구,숭인동
75,종로구,교남동
76,종로구,평동
77,종로구,송월동
78,종로구,홍파동
79,종로구,교북동
80,종로구,행촌동
81,종로구,구기동
82,종로구,평창동
83,종로구,부암동
84,종로구,홍지동
85,종로구,신영동
86,종로구,무악동
87,중구,무교동
88,중구,다동
89,중구,태평로1가
90,중구,을지로1가
91,중구,을지로2가
92,중구,남대문로1가
93,중구,삼각동
94,중구,수하동
95,중구,장교동
96,중구,수표동
97,중구,소공동
98,중구,남창동
99,중구,북창동
100,중구,태평로2가
101,중구,남대문로2가
102,중구,남대문로3가
103,중구,남대문로4가
104,중구,남대문로5가
105,중구,봉래동1가
106,중구,봉래동2가
107,중구,회현동1가
108,중구,회현동2가
109,중구,회현동3가
110,중구,충무로1가
111,중구,충무로2가
112,중구,명동1가
113,중구,명동2가
114,중구,남산동1가
115,중구,남산동2가
116,중구,남산동3가
117,중구,저동1가
118,중구,충무로4가
119,중구,충무로5가
120,중구,인현동2가
121,중구,예관동
122,중구,묵정동
123,중구,필동1가
124,중구,필동2가
125,중구,필동3가
126,중구,남학동
127,중구,주자동
128,중구,예장동
129,중구,장충동1가
130,중구,장충동2가
131,중구,광희동1가
132,중구,광희동2가
133,중구,쌍림동
134,중구,을지로6가
135,중구,을지로7가
136,중구,을지로4가
137,중구,을지로5가
138,중구,주교동
139,중구,방산동
140,중구,오장동
141,중구,을지로3가
142,중구,입정동
143,중구,산림동
144,중구,충무로3가
145,중구,초동
146,중구,인현동1가
147,중구,저동2가
148,중구,신당동
149,중구,흥인동
150,중구,무학동
151,중구,황학동
152,중구,서소문동
153,중구,정동
154,중구,순화동
155,중구,의주로1가
156,중구,충정로1가
157,중구,중림동
158,중구,의주로2가
159,중구,만리동1가
160,중구,만리동2가
161,용산구,후암동
162,용산구,용산동2가
163,용산구,용산동4가
164,용산구,갈월동
165,용산구,남영동
166,용산구,용산동1가
167,용산구,동자동
168,용산구,서계동
169,용산구,청파동1가
170,용산구,청파동2가
171,용산구,청파동3가
172,용산구,원효로1가
173,용산구,원효로2가
174,용산구,신창동
175,용산구,산천동
176,용산구,청암동
177,용산구,원효로3가
178,용산구,원효로4가
179,용산구,효창동
180,용산구,도원동
181,용산구,용문동
182,용산구,문배동
183,용산구,신계동
184,용산구,한강로1가
185,용산구,한강로2가
186,용산구,용산동3가
187,용산구,용산동5가
188,용산구,한강로3가
189,용산구,이촌동
190,용산구,이태원동
191,용산구,한남동
192,용산구,동빙고동
193,용산구,서빙고동
194,용산구,주성동
195,용산구,용산동6가
196,용산구,보광동
197,성동구,상왕십리동
198,성동구,하왕십리동
199,성동구,홍익동
200,성동구,도선동
201,성동구,마장동
202,성동구,사근동
203,성동구,행당동
204,성동구,응봉동
205,성동구,금호동1가
206,성동구,금호동2가
207,성동구,금호동3가
208,성동구,금호동4가
209,성동구,옥수동
210,성동구,성수동1가
211,성동구,성수동2가
212,성동구,송정동
213,성동구,용답동
214,광진구,중곡동
215,광진구,능동
216,광진구,구의동
217,광진구,광장동
218,광진구,자양동
219,광진구,화양동
220,광진구,군자동
221,동대문구,신설동
222,동대문구,용두동
223,동대문구,제기동
224,동대문구,전농동
225,동대문구,답십리동
226,동대문구,장안동
227,동대문구,청량리동
228,동대문구,회기동
229,동대문구,휘경동
230,동대문구,이문동
231,중랑구,면목동
232,중랑구,상봉동
233,중랑구,중화동
234,중랑구,묵동
235,중랑구,망우동
236,중랑구,신내동
237,성북구,성북동
238,성북구,성북동1가
239,성북구,돈암동
240,성북구,동소문동1가
241,성북구,동소문동2가
242,성북구,동소문동3가
243,성북구,동소문동4가
244,성북구,동소문동5가
245,성북구,동소문동6가
246,성북구,동소문동7가
247,성북구,삼선동1가
248,성북구,삼선동2가
249,성북구,삼선동3가
250,성북구,삼선동4가
251,성북구,삼선동5가
252,성북구,동선동1가
253,성북구,동선동2가
254,성북구,동선동3가
255,성북구,동선동4가
256,성북구,동선동5가
257,성북구,안암동1가
258,성북구,안암동2가
259,성북구,안암동3가
260,성북구,안암동4가
261,성북구,안암동5가
262,성북구,보문동4가
263,성북구,보문동5가
264,성북구,보문동6가
265,성북구,보문동7가
266,성북구,보문동1가
267,성북구,보문동2가
268,성북구,보문동3가
269,성북구,정릉동
270,성북구,길음동
271,성북구,종암동
272,성북구,하월곡동
273,성북구,상월곡동
274,성북구,장위동
275,성북구,석관동
276,강북구,미아동
277,강북구,번동
278,강북구,수유동
279,강북구,우이동
280,도봉구,쌍문동
281,도봉구,방학동
282,도봉구,창동
283,도봉구,도봉동
284,노원구,월계동
285,노원구,공릉동
286,노원구,하계동
287,노원구,상계동
288,노원구,중계동
289,은평구,수색동
290,은평구,녹번동
291,은평구,불광동
292,은평구,갈현동
293,은평구,구산동
294,은평구,대조동
295,은평구,응암동
296,은평구,역촌동
297,은평구,신사동
298,은평구,증산동
299,은평구,진관동
300,서대문구,충정로2가
301,서대문구,충정로3가
302,서대문구,합동
303,서대문구,미근동
304,서대문구,냉천동
305,서대문구,천연동
306,서대문구,옥천동
307,서대문구,영천동
308,서대문구,현저동
309,서대문구,북아현동
310,서대문구,홍제동
311,서대문구,대현동
312,서대문구,대신동
313,서대문구,신촌동
314,서대문구,봉원동
315,서대문구,창천동
316,서대문구,연희동
317,서대문구,홍은동
318,서대문구,북가좌동
319,서대문구,남가좌동
320,마포구,아현동
321,마포구,공덕동
322,마포구,신공덕동
323,마포구,도화동
324,마포구,용강동
325,마포구,토정동
326,마포구,마포동
327,마포구,대흥동
328,마포구,염리동
329,마포구,노고산동
330,마포구,신수동
331,마포구,현석동
332,마포구,구수동
333,마포구,창전동
334,마포구,상수동
335,마포구,하중동
336,마포구,신정동
337,마포구,당인동
338,마포구,서교동
339,마포구,동교동
340,마포구,합정동
341,마포구,망원동
342,마포구,연남동
343,마포구,성산동
344,마포구,중동
345,마포구,상암동
346,양천구,목동
347,양천구,신월동
348,강서구,염창동
349,강서구,등촌동
350,강서구,화곡동
351,강서구,가양동
352,강서구,마곡동
353,강서구,내발산동
354,강서구,외발산동
355,강서구,공항동
356,강서구,방화동
357,강서구,개화동
358,강서구,과해동
359,강서구,오곡동
360,강서구,오쇠동
361,구로구,신도림동
362,구로구,구로동
363,구로구,가리봉동
364,구로구,고척동
365,구로구,개봉동
366,구로구,오류동
367,구로구,궁동
368,구로구,온수동
369,구로구,천왕동
370,구로구,항동
371,금천구,가산동
372,금천구,독산동
373,금천구,시흥동
374,영등포구,영등포동
375,영등포구,영등포동1가
376,영등포구,영등포동2가
377,영등포구,영등포동3가
378,영등포구,영등포동4가
379,영등포구,영등포동5가
380,영등포구,영등포동6가
381,영등포구,영등포동7가
382,영등포구,영등포동8가
383,영등포구,여의도동
384,영등포구,당산동1가
385,영등포구,당산동2가
386,영등포구,당산동3가
387,영등포구,당산동4가
388,영등포구,당산동5가
389,영등포구,당산동6가
390,영등포구,당산동
391,영등포구,도림동
392,영등포구,문래동1가
393,영등포구,문래동2가
394,영등포구,문래동3가
395,영등포구,문래동4가
396,영등포구,문래동5가
397,영등포구,문래동6가
398,영등포구,양평동1가
399,영등포구,양평동2가
400,영등포구,양평동3가
401,영등포구,양평동4가
402,영등포구,양평동5가
403,영등포구,양평동6가
404,영등포구,양화동
405,영등포구,신길동
406,영등포구,대림동
407,영등포구,양평동
408,동작구,노량진동
409,동작구,상도동
410,동작구,상도1동
411,동작구,본동
412,동작구,흑석동
413,동작구,동작동
414,동작구,사당동
415,동작구,대방동
416,동작구,신대방동
417,관악구,봉천동
418,관악구,신림동
419,관악구,남현동
420,서초구,방배동
421,서초구,양재동
422,서초구,우면동
423,서초구,원지동
424,서초구,잠원동
425,서초구,반포동
426,서초구,서초동
427,서초구,내곡동
428,서초구,염곡동
429,서초구,신원동
430,강남구,역삼동
431,강남구,개포동
432,강남구,청담동
433,강남구,삼성동
434,강남구,대치동
435,강남구,논현동
436,강남구,압구정동
437,강남구,세곡동
438,강남구,자곡동
439,강남구,율현동
440,강남구,일원동
441,강남구,수서동
442,강남구,도곡동
443,송파구,잠실동
444,송파구,신천동
445,송파구,풍납동
446,송파구,송파동
447,송파구,석촌동
448,송파구,삼전동
449,송파구,가락동
450,송파구,문정동
451,송파구,장지동
452,송파구,방이동
453,송파구,오금동
454,송파구,거여동
455,송파구,마천동
456,강동구,명일동
457,강동구,고덕동
458,강동구,상일동
459,강동구,길동
460,강동구,둔촌동
461,강동구,암사동
462,강동구,성내동
463,강동구,천호동
464,강동구,강일동
