,Unnamed: 0,bubjung,position_x,position_y,jachigu
0,0,청운동,37.587111,126.969069,종로구
1,1,신교동,37.583911,126.968354,종로구
2,2,궁정동,37.584381,126.971489,종로구
3,3,효자동,37.582416,126.97167,종로구
4,4,창성동,37.580363,126.972065,종로구
5,5,통의동,37.578307,126.972872,종로구
6,6,적선동,37.576122,126.973453,종로구
7,7,통인동,37.580141,126.970127,종로구
8,8,누상동,37.580478,126.965838,종로구
9,9,누하동,37.579423,126.968521,종로구
10,10,옥인동,37.582175,126.967275,종로구
11,11,체부동,37.577645,126.970877,종로구
12,12,필운동,37.577076,126.968848,종로구
13,13,내자동,37.575641,126.971177,종로구
14,14,사직동,37.573711,126.966295,종로구
15,15,도렴동,37.572445,126.975158,종로구
16,16,당주동,37.571429,126.97457,종로구
17,17,내수동,37.573113,126.971819,종로구
18,18,세종로,37.572655,126.976742,종로구
19,19,신문로1가,37.570366,126.973968,종로구
20,20,신문로2가,37.571299,126.968815,종로구
21,21,청진동,37.571886,126.980676,종로구
22,22,서린동,37.569668,126.979809,종로구
23,23,수송동,37.573994,126.981139,종로구
24,24,중학동,37.575301,126.979265,종로구
25,25,종로1가,37.570479,126.980434,종로구
26,26,공평동,37.571692,126.982996,종로구
27,27,관훈동,37.574336,126.984857,종로구
28,28,견지동,37.573529,126.983065,종로구
29,29,와룡동,37.57695,126.991141,종로구
30,30,권농동,37.575619,126.991498,종로구
31,31,운니동,37.576159,126.989206,종로구
32,32,익선동,37.574082,126.989819,종로구
33,33,경운동,37.574538,126.986664,종로구
34,34,관철동,37.569182,126.986053,종로구
35,35,인사동,37.571837,126.986206,종로구
36,36,낙원동,37.572558,126.988732,종로구
37,37,종로2가,37.570195,126.986454,종로구
38,38,팔판동,37.582882,126.980836,종로구
39,39,삼청동,37.585404,126.982123,종로구
40,40,안국동,37.577515,126.983939,종로구
41,41,소격동,37.580122,126.981424,종로구
42,42,화동,37.580693,126.982268,종로구
43,43,사간동,37.577668,126.980593,종로구
44,44,송현동,37.577322,126.982187,종로구
45,45,가회동,37.582235,126.984666,종로구
46,46,재동,37.578363,126.985575,종로구
47,47,계동,37.581321,126.987016,종로구
48,48,원서동,37.581687,126.988696,종로구
49,49,훈정동,37.57098,126.995131,종로구
50,50,묘동,37.572598,126.991715,종로구
51,51,봉익동,37.572398,126.992873,종로구
52,52,돈의동,37.572085,126.990736,종로구
53,53,장사동,37.569411,126.99383,종로구
54,54,관수동,37.5692,126.990527,종로구
55,55,종로3가,37.570337,126.992072,종로구
56,56,인의동,37.573102,126.997921,종로구
57,57,예지동,37.569643,126.997971,종로구
58,58,원남동,37.575326,126.997429,종로구
59,59,연지동,37.57359,126.999447,종로구
60,60,종로4가,37.570618,126.998135,종로구
61,61,효제동,37.572859,127.003417,종로구
62,62,종로5가,37.57054,127.003794,종로구
63,63,종로6가,37.572572,127.006996,종로구
64,64,이화동,37.577066,127.006358,종로구
65,65,연건동,37.5775,127.000903,종로구
66,66,충신동,37.575189,127.006471,종로구
67,67,동숭동,37.581654,127.005083,종로구
68,68,혜화동,37.587955,127.001157,종로구
69,69,명륜1가,37.588347,126.997733,종로구
70,70,명륜2가,37.584521,126.998638,종로구
71,71,명륜4가,37.582225,127.000008,종로구
72,72,명륜3가,37.588359,126.994739,종로구
73,73,창신동,37.574729,127.012062,종로구
74,74,숭인동,37.575979,127.018802,종로구
75,75,교남동,37.567917,126.965108,종로구
76,76,평동,37.567121,126.967018,종로구
77,77,송월동,37.569779,126.96576,종로구
78,78,홍파동,37.571862,126.965154,종로구
79,79,교북동,37.572612,126.960436,종로구
80,80,행촌동,37.574294,126.962469,종로구
81,81,구기동,37.609211,126.957246,종로구
82,82,평창동,37.61042,126.969837,종로구
83,83,부암동,37.594148,126.964248,종로구
84,84,홍지동,37.60031,126.957773,종로구
85,85,신영동,37.602696,126.961378,종로구
86,86,무악동,37.575906,126.959334,종로구
87,87,무교동,37.567732,126.979171,중구
88,88,다동,37.567577,126.981026,중구
89,89,태평로1가,37.568174,126.976805,중구
90,90,을지로1가,37.566295,126.980137,중구
91,91,을지로2가,37.565757,126.985892,중구
92,92,남대문로1가,37.567451,126.982976,중구
93,93,삼각동,37.567588,126.983748,중구
94,94,수하동,37.567242,126.984082,중구
95,95,장교동,37.567116,126.987193,중구
96,96,수표동,37.567358,126.989674,중구
97,97,소공동,37.563731,126.980135,중구
98,98,남창동,37.55845,126.977464,중구
99,99,북창동,37.5625,126.978056,중구
100,100,태평로2가,37.563334,126.976861,중구
101,101,남대문로2가,37.563785,126.981752,중구
102,102,남대문로3가,37.561033,126.978259,중구
103,103,남대문로4가,37.560635,126.976863,중구
104,104,남대문로5가,37.557154,126.974366,중구
105,105,봉래동1가,37.558687,126.972589,중구
106,106,봉래동2가,37.557841,126.97062,중구
107,107,회현동1가,37.557439,126.980748,중구
108,108,회현동2가,37.558033,126.983443,중구
109,109,회현동3가,37.56006,126.984082,중구
110,110,충무로1가,37.561279,126.98343,중구
111,111,충무로2가,37.561903,126.987942,중구
112,112,명동1가,37.564135,126.984148,중구
113,113,명동2가,37.56288,126.984505,중구
114,114,남산동1가,37.55926,126.984605,중구
115,115,남산동2가,37.558534,126.985813,중구
116,116,남산동3가,37.560392,126.987105,중구
117,117,저동1가,37.564362,126.987314,중구
118,118,충무로4가,37.562463,126.995255,중구
119,119,충무로5가,37.562923,126.999921,중구
120,120,인현동2가,37.56378,126.995779,중구
121,121,예관동,37.564357,126.99822,중구
122,122,묵정동,37.561401,127.000871,중구
123,123,필동1가,37.560992,126.992264,중구
124,124,필동2가,37.55896,126.995427,중구
125,125,필동3가,37.559069,126.997152,중구
126,126,남학동,37.56041,126.99086,중구
127,127,주자동,37.560755,126.98985,중구
128,128,예장동,37.557397,126.990492,중구
129,129,장충동1가,37.561397,127.007583,중구
130,130,장충동2가,37.55991,127.00256,중구
131,131,광희동1가,37.565194,127.005069,중구
132,132,광희동2가,37.563799,127.008655,중구
133,133,쌍림동,37.563176,127.004625,중구
134,134,을지로6가,37.566868,127.00631,중구
135,135,을지로7가,37.565117,127.009288,중구
136,136,을지로4가,37.566587,126.998139,중구
137,137,을지로5가,37.566455,127.001862,중구
138,138,주교동,37.568136,126.999252,중구
139,139,방산동,37.568469,127.001903,중구
140,140,오장동,37.564685,127.0007,중구
141,141,을지로3가,37.566292,126.992337,중구
142,142,입정동,37.567709,126.993042,중구
143,143,산림동,37.567564,126.996085,중구
144,144,충무로3가,37.562676,126.991874,중구
145,145,초동,37.564226,126.992375,중구
146,146,인현동1가,37.564472,126.994232,중구
147,147,저동2가,37.564385,126.990257,중구
148,148,신당동,37.559441,127.013427,중구
149,149,흥인동,37.566792,127.016839,중구
150,150,무학동,37.564149,127.015091,중구
151,151,황학동,37.56794,127.020367,중구
152,152,서소문동,37.563075,126.974142,중구
153,153,정동,37.566905,126.972078,중구
154,154,순화동,37.562471,126.970566,중구
155,155,의주로1가,37.564783,126.968176,중구
156,156,충정로1가,37.567411,126.968642,중구
157,157,중림동,37.558715,126.96584,중구
158,158,의주로2가,37.559382,126.969985,중구
159,159,만리동1가,37.556408,126.967319,중구
160,160,만리동2가,37.553986,126.96415,중구
161,161,후암동,37.549171,126.978938,용산구
162,162,용산동2가,37.544184,126.98511,용산구
163,163,용산동4가,37.534964,126.986876,용산구
164,164,갈월동,37.546267,126.972941,용산구
165,165,남영동,37.542934,126.97341,용산구
166,166,용산동1가,37.534968,126.977282,용산구
167,167,동자동,37.551535,126.974137,용산구
168,168,서계동,37.552113,126.966089,용산구
169,169,청파동1가,37.54887,126.967046,용산구
170,170,청파동2가,37.546067,126.967745,용산구
171,171,청파동3가,37.543407,126.968276,용산구
172,172,원효로1가,37.539977,126.966998,용산구
173,173,원효로2가,37.536307,126.963165,용산구
174,174,신창동,37.53573,126.955199,용산구
175,175,산천동,37.535428,126.952396,용산구
176,176,청암동,37.53504,126.9465,용산구
177,177,원효로3가,37.53414,126.956862,용산구
178,178,원효로4가,37.533504,126.952763,용산구
179,179,효창동,37.543291,126.961214,용산구
180,180,도원동,37.539188,126.95794,용산구
181,181,용문동,37.537571,126.959936,용산구
182,182,문배동,37.536423,126.969346,용산구
183,183,신계동,37.534581,126.964922,용산구
184,184,한강로1가,37.534384,126.973765,용산구
185,185,한강로2가,37.531715,126.970242,용산구
186,186,용산동3가,37.533189,126.974319,용산구
187,187,용산동5가,37.527123,126.97083,용산구
188,188,한강로3가,37.524659,126.963299,용산구
189,189,이촌동,37.524133,126.961987,용산구
190,190,이태원동,37.5367,126.992151,용산구
191,191,한남동,37.533889,127.003955,용산구
192,192,동빙고동,37.523599,126.995949,용산구
193,193,서빙고동,37.521042,126.993023,용산구
194,194,주성동,37.522591,126.998382,용산구
195,195,용산동6가,37.51915,126.983164,용산구
196,196,보광동,37.528858,126.999766,용산구
197,197,상왕십리동,37.569332,127.025349,성동구
198,198,하왕십리동,37.562462,127.029586,성동구
199,199,홍익동,37.566144,127.032921,성동구
200,200,도선동,37.563897,127.033258,성동구
201,201,마장동,37.567305,127.039084,성동구
202,202,사근동,37.561371,127.046789,성동구
203,203,행당동,37.559076,127.035869,성동구
204,204,응봉동,37.551169,127.031462,성동구
205,205,금호동1가,37.554697,127.023412,성동구
206,206,금호동2가,37.552482,127.020133,성동구
207,207,금호동3가,37.549504,127.021812,성동구
208,208,금호동4가,37.547468,127.02006,성동구
209,209,옥수동,37.542764,127.014662,성동구
210,210,성수동1가,37.544661,127.046772,성동구
211,211,성수동2가,37.541123,127.056125,성동구
212,212,송정동,37.552124,127.067652,성동구
213,213,용답동,37.564354,127.052795,성동구
214,214,중곡동,37.561882,127.084745,광진구
215,215,능동,37.553729,127.082381,광진구
216,216,구의동,37.544655,127.089493,광진구
217,217,광장동,37.546992,127.103926,광진구
218,218,자양동,37.534692,127.074327,광진구
219,219,화양동,37.544427,127.070047,광진구
220,220,군자동,37.553878,127.073516,광진구
221,221,신설동,37.575204,127.026023,동대문구
222,222,용두동,37.576328,127.034621,동대문구
223,223,제기동,37.584134,127.03796,동대문구
224,224,전농동,37.579797,127.053848,동대문구
225,225,답십리동,37.569883,127.056757,동대문구
226,226,장안동,37.570749,127.068233,동대문구
227,227,청량리동,37.586643,127.044621,동대문구
228,228,회기동,37.591447,127.051971,동대문구
229,229,휘경동,37.589592,127.061228,동대문구
230,230,이문동,37.598851,127.062465,동대문구
231,231,면목동,37.58442,127.086487,중랑구
232,232,상봉동,37.596267,127.085704,중랑구
233,233,중화동,37.59975,127.077718,중랑구
234,234,묵동,37.611266,127.077829,중랑구
235,235,망우동,37.596678,127.100419,중랑구
236,236,신내동,37.607237,127.098924,중랑구
237,237,성북동,37.594567,126.997514,성북구
238,238,성북동1가,37.589374,127.003652,성북구
239,239,돈암동,37.598415,127.020288,성북구
240,240,동소문동1가,37.589858,127.00746,성북구
241,241,동소문동2가,37.588696,127.008412,성북구
242,242,동소문동3가,37.590052,127.010816,성북구
243,243,동소문동4가,37.591541,127.010756,성북구
244,244,동소문동5가,37.591666,127.01559,성북구
245,245,동소문동6가,37.59377,127.014858,성북구
246,246,동소문동7가,37.596303,127.014721,성북구
247,247,삼선동1가,37.585059,127.007942,성북구
248,248,삼선동2가,37.585259,127.010538,성북구
249,249,삼선동3가,37.586298,127.012802,성북구
250,250,삼선동4가,37.589818,127.013135,성북구
251,251,삼선동5가,37.58825,127.015789,성북구
252,252,동선동1가,37.592065,127.01826,성북구
253,253,동선동2가,37.590091,127.020053,성북구
254,254,동선동3가,37.594108,127.020597,성북구
255,255,동선동4가,37.595087,127.018541,성북구
256,256,동선동5가,37.596185,127.016726,성북구
257,257,안암동1가,37.588393,127.021456,성북구
258,258,안암동2가,37.586638,127.022973,성북구
259,259,안암동3가,37.583915,127.02328,성북구
260,260,안암동4가,37.580811,127.024633,성북구
261,261,안암동5가,37.586083,127.029493,성북구
262,262,보문동4가,37.582645,127.021437,성북구
263,263,보문동5가,37.582359,127.019936,성북구
264,264,보문동6가,37.580444,127.019694,성북구
265,265,보문동7가,37.580033,127.02182,성북구
266,266,보문동1가,37.586226,127.019779,성북구
267,267,보문동2가,37.585602,127.018306,성북구
268,268,보문동3가,37.584277,127.017551,성북구
269,269,정릉동,37.608442,127.008288,성북구
270,270,길음동,37.607316,127.02476,성북구
271,271,종암동,37.597405,127.035032,성북구
272,272,하월곡동,37.605662,127.035753,성북구
273,273,상월곡동,37.606723,127.048393,성북구
274,274,장위동,37.614232,127.050118,성북구
275,275,석관동,37.608823,127.060712,성북구
276,276,미아동,37.621298,127.024902,강북구
277,277,번동,37.635123,127.032072,강북구
278,278,수유동,37.639388,127.017183,강북구
279,279,우이동,37.658785,127.01119,강북구
280,280,쌍문동,37.652731,127.02871,도봉구
281,281,방학동,37.666224,127.03665,도봉구
282,282,창동,37.64344,127.039413,도봉구
283,283,도봉동,37.678103,127.043249,도봉구
284,284,월계동,37.622192,127.05865,노원구
285,285,공릉동,37.623601,127.077388,노원구
286,286,하계동,37.63689,127.073145,노원구
287,287,상계동,37.6671,127.072189,노원구
288,288,중계동,37.646989,127.082411,노원구
289,289,수색동,37.585121,126.89426,은평구
290,290,녹번동,37.605253,126.929107,은평구
291,291,불광동,37.620465,126.927435,은평구
292,292,갈현동,37.621223,126.914993,은평구
293,293,구산동,37.61139,126.910297,은평구
294,294,대조동,37.612276,126.92285,은평구
295,295,응암동,37.592677,126.920257,은평구
296,296,역촌동,37.60477,126.915663,은평구
297,297,신사동,37.595711,126.909195,은평구
298,298,신사동,37.522893,127.028589,은평구
299,299,증산동,37.584724,126.907223,은평구
300,300,진관동,37.644355,126.936524,은평구
301,301,충정로2가,37.565192,126.964529,서대문구
302,302,충정로3가,37.562611,126.961351,서대문구
303,303,합동,37.561567,126.966566,서대문구
304,304,미근동,37.563162,126.967026,서대문구
305,305,냉천동,37.567257,126.96389,서대문구
306,306,천연동,37.568285,126.960571,서대문구
307,307,옥천동,37.569686,126.96089,서대문구
308,308,영천동,37.570759,126.96046,서대문구
309,309,현저동,37.576486,126.95422,서대문구
310,310,북아현동,37.561666,126.95617,서대문구
311,311,홍제동,37.588734,126.946107,서대문구
312,312,대현동,37.558086,126.944504,서대문구
313,313,대신동,37.566438,126.945199,서대문구
314,314,신촌동,37.568134,126.946792,서대문구
315,315,봉원동,37.569952,126.947063,서대문구
316,316,창천동,37.558584,126.934113,서대문구
317,317,연희동,37.570389,126.929628,서대문구
318,318,홍은동,37.59156,126.938775,서대문구
319,319,북가좌동,37.580344,126.912261,서대문구
320,320,남가좌동,37.577538,126.922311,서대문구
321,321,아현동,37.555483,126.955998,마포구
322,322,공덕동,37.548828,126.959006,마포구
323,323,신공덕동,37.544374,126.956854,마포구
324,324,도화동,37.539966,126.95,마포구
325,325,용강동,37.541967,126.940414,마포구
326,326,토정동,37.54035,126.940474,마포구
327,327,마포동,37.537003,126.945323,마포구
328,328,대흥동,37.551055,126.943731,마포구
329,329,염리동,37.551546,126.947279,마포구
330,330,노고산동,37.554402,126.938556,마포구
331,331,신수동,37.547351,126.937074,마포구
332,332,현석동,37.54384,126.933903,마포구
333,333,구수동,37.545679,126.932695,마포구
334,334,창전동,37.550966,126.929835,마포구
335,335,상수동,37.547431,126.922946,마포구
336,336,하중동,37.54575,126.928674,마포구
337,337,신정동,37.54421,126.930866,마포구
338,338,신정동,37.521636,126.857957,마포구
339,339,당인동,37.54625,126.920245,마포구
340,340,서교동,37.55391,126.918985,마포구
341,341,동교동,37.55765,126.925663,마포구
342,342,합정동,37.549046,126.911558,마포구
343,343,망원동,37.55662,126.903976,마포구
344,344,연남동,37.562962,126.921783,마포구
345,345,성산동,37.563317,126.91087,마포구
346,346,중동,37.5704,126.907656,마포구
347,347,상암동,37.577131,126.893488,마포구
348,348,목동,37.539776,126.869079,양천구
349,349,신월동,37.529444,126.834248,양천구
350,350,염창동,37.551366,126.8713,강서구
351,351,등촌동,37.551325,126.858411,강서구
352,352,화곡동,37.538358,126.847336,강서구
353,353,가양동,37.568238,126.845059,강서구
354,354,마곡동,37.566092,126.830395,강서구
355,355,내발산동,37.552616,126.83573,강서구
356,356,외발산동,37.546721,126.821871,강서구
357,357,공항동,37.558805,126.813297,강서구
358,358,방화동,37.569138,126.812192,강서구
359,359,개화동,37.582069,126.801198,강서구
360,360,과해동,37.560661,126.794953,강서구
361,361,오곡동,37.554615,126.775768,강서구
362,362,오쇠동,37.541148,126.796575,강서구
363,363,신도림동,37.509454,126.880425,구로구
364,364,구로동,37.4929,126.886427,구로구
365,365,가리봉동,37.482944,126.888062,구로구
366,366,고척동,37.50356,126.855829,구로구
367,367,개봉동,37.49497,126.851409,구로구
368,368,오류동,37.494129,126.840746,구로구
369,369,궁동,37.49687,126.831303,구로구
370,370,온수동,37.493507,126.820255,구로구
371,371,천왕동,37.482016,126.841789,구로구
372,372,항동,37.484059,126.82298,구로구
373,373,가산동,37.477598,126.888291,금천구
374,374,독산동,37.469371,126.901246,금천구
375,375,시흥동,37.453325,126.906222,금천구
376,376,영등포동,37.513448,126.907724,영등포구
377,377,영등포동1가,37.51771,126.913057,영등포구
378,378,영등포동2가,37.520839,126.910094,영등포구
379,379,영등포동3가,37.518155,126.907998,영등포구
380,380,영등포동4가,37.517981,126.903506,영등포구
381,381,영등포동5가,37.521133,126.907084,영등포구
382,382,영등포동6가,37.521556,126.90309,영등포구
383,383,영등포동7가,37.524619,126.90667,영등포구
384,384,영등포동8가,37.527015,126.905253,영등포구
385,385,여의도동,37.524371,126.925958,영등포구
386,386,당산동1가,37.522336,126.898748,영등포구
387,387,당산동2가,37.522967,126.892688,영등포구
388,388,당산동3가,37.525551,126.896668,영등포구
389,389,당산동4가,37.528887,126.898848,영등포구
390,390,당산동5가,37.532856,126.899187,영등포구
391,391,당산동6가,37.534373,126.903445,영등포구
392,392,당산동,37.528625,126.907439,영등포구
393,393,도림동,37.509277,126.902494,영등포구
394,394,문래동1가,37.512364,126.897201,영등포구
395,395,문래동2가,37.51329,126.893779,영등포구
396,396,문래동3가,37.516929,126.897249,영등포구
397,397,문래동4가,37.515082,126.890475,영등포구
398,398,문래동5가,37.515863,126.885676,영등포구
399,399,문래동6가,37.519342,126.886528,영등포구
400,400,양평동1가,37.523571,126.888814,영등포구
401,401,양평동2가,37.52427,126.884578,영등포구
402,402,양평동3가,37.528148,126.889731,영등포구
403,403,양평동4가,37.537079,126.89626,영등포구
404,404,양평동5가,37.538964,126.893422,영등포구
405,405,양평동6가,37.542645,126.890065,영등포구
406,406,양화동,37.545629,126.891554,영등포구
407,407,신길동,37.507088,126.913103,영등포구
408,408,대림동,37.494306,126.900642,영등포구
409,409,양평동,37.522602,126.881344,영등포구
410,410,노량진동,37.510162,126.940418,동작구
411,411,상도동,37.499206,126.940385,동작구
412,412,상도1동,37.502889,126.950645,동작구
413,413,본동,37.511491,126.954336,동작구
414,414,흑석동,37.505964,126.962578,동작구
415,415,동작동,37.496605,126.980985,동작구
416,416,사당동,37.483974,126.974999,동작구
417,417,대방동,37.504791,126.927862,동작구
418,418,신대방동,37.492678,126.917721,동작구
419,419,봉천동,37.482717,126.949951,관악구
420,420,신림동,37.476412,126.925691,관악구
421,421,남현동,37.474116,126.976721,관악구
422,422,방배동,37.484677,126.989955,서초구
423,423,양재동,37.474839,127.041717,서초구
424,424,우면동,37.466629,127.021892,서초구
425,425,원지동,37.446848,127.053774,서초구
426,426,잠원동,37.513667,127.016166,서초구
427,427,반포동,37.502816,127.010493,서초구
428,428,서초동,37.488514,127.016222,서초구
429,429,내곡동,37.456881,127.074171,서초구
430,430,염곡동,37.462035,127.052837,서초구
431,431,신원동,37.447112,127.058841,서초구
432,432,역삼동,37.500335,127.037596,강남구
433,433,개포동,37.47826,127.052024,강남구
434,434,청담동,37.523404,127.046858,강남구
435,435,삼성동,37.512792,127.053085,강남구
436,436,대치동,37.501711,127.057851,강남구
437,437,논현동,37.513093,127.031353,강남구
438,438,압구정동,37.528752,127.031766,강남구
439,439,세곡동,37.466494,127.103021,강남구
440,440,자곡동,37.476796,127.100387,강남구
441,441,율현동,37.47145,127.107251,강남구
442,442,일원동,37.491326,127.083799,강남구
443,443,수서동,37.485767,127.098137,강남구
444,444,도곡동,37.486509,127.040738,강남구
445,445,잠실동,37.506967,127.083673,송파구
446,446,신천동,37.517302,127.104967,송파구
447,447,풍납동,37.534673,127.117643,송파구
448,448,송파동,37.506058,127.111216,송파구
449,449,석촌동,37.502699,127.102321,송파구
450,450,삼전동,37.502724,127.092352,송파구
451,451,가락동,37.496486,127.126006,송파구
452,452,문정동,37.486581,127.127495,송파구
453,453,장지동,37.478077,127.133269,송파구
454,454,방이동,37.512017,127.116902,송파구
455,455,오금동,37.503984,127.135124,송파구
456,456,거여동,37.494161,127.145196,송파구
457,457,마천동,37.497117,127.152393,송파구
458,458,명일동,37.549276,127.147555,강동구
459,459,고덕동,37.561068,127.160582,강동구
460,460,상일동,37.54822,127.17063,강동구
461,461,길동,37.539123,127.143163,강동구
462,462,둔촌동,37.531157,127.142891,강동구
463,463,암사동,37.552497,127.13301,강동구
464,464,성내동,37.531338,127.129174,강동구
465,465,천호동,37.543676,127.131748,강동구
466,466,강일동,37.569204,127.17162,강동구
